,Duration_Min,Price
9182,90,8040
251,755,6601
9536,180,7229
1614,170,3383
5549,265,3809
8205,155,4804
7276,145,3858
2643,475,10844
3171,720,5192
3046,1245,11753
7583,850,7064
1330,855,11654
1251,975,8085
2043,755,6673
2828,1045,10991
4267,935,16863
5648,505,14151
5874,140,6300
2334,810,11134
3301,90,2017
9614,190,6216
5552,500,8330
279,1640,14042
1211,300,15554
9628,850,14086
10469,1615,11733
1331,290,5069
1027,1150,10844
8617,170,4423
9432,1375,10368
5649,660,14714
3421,150,4804
6313,175,4823
5906,1040,15145
2405,450,10262
10118,1390,10676
2076,420,13587
6116,545,6717
2956,570,13587
9094,1560,12409
9785,145,3540
3926,1215,11260
237,615,12524
4049,1560,12392
9547,825,5177
10329,85,2017
8278,555,8372
1574,480,12537
8465,480,6794
8674,1065,9922
201,195,5013
7113,965,9187
5420,465,5999
2349,155,4174
3527,145,3873
6158,90,2017
5604,710,14871
2057,660,15554
9551,315,4963
7308,95,2227
745,330,8759
5016,440,11269
2796,600,12142
7202,1005,10262
5883,470,7575
2338,1655,9187
3458,1375,13014
141,325,5636
6764,155,4409
6860,175,6860
6048,745,6383
347,180,7229
8893,520,12898
5623,1660,14462
6042,1295,10262
7122,1075,13067
7039,540,7031
9561,1480,10703
10266,1450,12121
5955,135,3543
4093,1570,14151
3247,655,11003
10226,90,2017
1377,85,2754
2127,540,4959
2325,155,4145
2710,170,4668
7141,910,12192
6637,170,3383
4862,1235,12898
3447,535,8266
7952,305,10112
6133,670,12395
6105,540,3876
5401,1495,13044
9926,155,4145
6753,1210,11307
3287,560,7215
5266,220,6857
7118,775,14571
1913,1215,12224
1651,495,6686
4540,170,3898
2176,140,6297
5735,495,12284
4190,375,19225
1610,835,6442
9250,165,5176
8356,300,14714
7243,1105,13547
6572,1555,12173
6875,155,4804
2959,1475,13547
166,160,3311
6741,165,7229
2700,1430,13044
188,165,3383
3608,140,3597
9692,1075,10539
8828,575,14871
10017,700,8610
9142,90,3100
704,1235,10031
33,1320,10919
5889,750,13067
7732,155,4384
2708,165,5228
10050,595,15411
7958,965,6838
3076,170,4823
7459,175,4990
6611,1145,5406
2732,170,5911
7123,1475,12557
2852,80,3625
2363,790,8610
8827,585,14178
11,155,4174
2319,625,11096
10181,865,8327
1682,90,1965
4072,145,6297
9180,1390,12819
576,155,4409
8994,1430,9663
1235,710,5192
6024,395,14676
8294,85,8040
1835,1175,11087
3465,175,7229
2921,490,6704
3543,165,5228
5322,490,6007
3074,860,12351
6888,1255,7480
8503,195,4729
4962,1540,10539
6008,175,6144
6646,885,12898
1230,1375,13014
7403,835,13797
7494,310,7870
6301,165,4441
6813,165,6121
5971,995,7438
2867,635,18959
4435,155,3841
7294,490,6938
4351,180,7229
4781,1430,12819
8435,810,15129
4023,345,6386
1743,885,6558
7217,865,9397
5051,90,4049
5037,155,4804
2689,360,6542
1502,160,4148
9162,1345,10943
8499,85,3210
3039,875,5998
7900,760,6795
1403,275,5458
8777,730,6812
6588,90,1965
9567,1420,10975
6697,155,4082
8884,1760,16704
6921,85,4050
10320,1285,9314
2141,305,8177
6723,1430,7064
6882,520,7354
2528,1015,12373
3756,170,4591
6386,85,2754
4941,1570,10262
7950,170,4823
1135,135,6300
6952,170,4668
2914,1565,13348
125,1090,13044
5642,455,7740
3066,1390,15129
2800,1390,10676
3442,890,9663
7386,1295,12373
6751,850,7731
8260,745,10262
5924,175,6205
5998,730,8529
1802,195,5601
3153,515,7094
3127,1105,15894
5215,155,4804
9584,1090,9663
8787,675,15058
3364,160,7608
2017,1005,10262
9642,540,7378
2115,85,3205
8388,620,10262
1127,850,6197
7007,1300,13376
3,325,6218
10179,625,18191
8652,1355,10262
3875,1375,13292
6336,1495,10844
5129,85,4995
4687,790,8610
8707,90,2754
352,610,6540
179,1105,10262
9085,165,4483
7619,180,7229
6707,930,7198
4593,90,3100
7945,750,13727
2865,805,10262
5765,1790,10919
1860,450,8307
6555,175,3419
9474,885,10262
9465,1760,15129
2497,655,14714
1992,455,7038
5581,895,6270
2421,90,5755
5714,470,6451
6845,745,15764
8082,1255,11752
362,710,14231
801,490,6412
3987,170,3625
2801,155,4804
8645,765,11642
9402,1535,11522
3248,550,10262
4964,175,8001
3284,965,7480
1675,195,5000
137,165,4030
1998,320,8567
3522,190,6216
1592,1210,10467
5863,690,9794
9286,275,5054
2069,435,8355
10092,520,10577
4766,90,1759
8170,325,6218
8280,90,4049
2272,180,6144
214,90,4995
6087,910,5999
7272,350,13628
5301,500,5192
865,175,8016
6348,345,6058
2350,90,3342
8524,170,4423
3945,1015,19828
8156,1335,6692
3402,435,13587
2340,625,10413
821,455,9103
3952,450,14973
3514,460,11622
6995,165,5780
1179,900,13817
9106,395,10885
3746,155,4804
10160,180,7229
1949,180,8016
10198,140,11982
824,1545,10844
1476,480,6104
3789,855,12704
9988,170,3898
910,140,3815
8735,970,9920
5193,845,5883
68,800,10861
9870,85,5678
3599,1255,7480
7153,85,4784
2175,545,8366
2731,1385,14053
799,140,5277
1344,780,8073
5002,910,11270
4784,545,10493
4318,735,13044
1014,380,5583
7870,620,16376
3467,1550,10844
9077,690,12121
492,450,14714
7721,160,3815
3656,185,7229
3721,505,15318
2097,165,5780
9880,1685,13067
1134,170,4591
4511,140,3873
3914,800,11386
9925,375,14848
4940,1665,16057
3104,170,5201
4277,1390,16704
7806,875,8151
748,1260,10031
529,575,12384
4829,165,3850
9069,810,13014
2993,1080,12121
989,155,3873
4894,780,17057
9588,1320,13376
8822,425,12681
7311,810,6526
502,775,14053
6863,220,4226
1603,165,6961
3078,85,8040
5240,140,11982
1746,535,17024
6468,450,14714
3935,175,4823
2034,590,9899
1660,295,4611
672,310,6027
3048,1735,8728
1428,170,4591
884,570,9027
7966,620,6427
8769,1260,17024
9579,1115,8577
4453,1505,10262
3230,440,15400
9411,360,10262
1045,90,2753
5476,370,5842
6395,570,13587
8302,90,10875
5919,835,7144
646,90,2754
6487,155,3841
7885,1560,13442
3091,1425,12373
9499,800,13584
6698,1555,6117
1907,90,2227
8733,1830,9416
1528,1355,11087
9690,690,10703
8029,1165,10262
2532,1115,8875
1152,800,14781
6610,90,4995
3218,325,5636
8253,330,14924
3024,865,8327
4153,175,3971
6003,345,8028
7534,1555,8137
5592,705,8371
9292,685,10844
9469,1155,9663
3509,1595,11911
7851,1425,12898
7313,1615,15129
8701,90,2017
667,165,3419
10398,1265,10844
7986,920,7878
6681,840,12121
1899,705,8266
9799,590,10151
9231,1195,15129
1056,155,3807
4368,930,7893
8863,160,3311
6055,80,3100
5258,975,9345
7767,1390,11150
9938,535,9526
5952,150,4804
4553,90,4049
5179,330,7646
318,175,8016
10036,150,5644
2783,545,8891
2677,890,10661
8351,195,5021
9811,1150,13759
3477,790,8610
9021,720,5192
3703,165,7229
3766,425,16274
1845,165,5613
210,315,5583
5025,90,5678
4895,265,3480
7879,1365,11087
6839,1680,14714
2587,495,7335
580,160,4878
3603,155,4384
936,140,5277
5953,165,4423
1671,155,4174
4100,645,13611
4462,705,7064
9364,360,15554
8420,570,7308
9222,590,7851
3080,325,6582
2544,1200,22270
268,775,14781
7507,535,15129
4222,165,4804
3135,1575,13759
4915,1165,12009
7587,875,10991
8078,170,3419
8880,140,3597
3861,675,7452
6506,745,10203
5022,1530,10262
486,1015,14069
4536,165,3383
2842,890,14571
506,85,5755
4936,745,10203
2755,85,3342
9693,345,11134
6596,145,4491
794,160,8028
9306,75,4307
10386,1490,13591
1738,750,6093
9533,1385,15170
4083,455,6442
10379,455,10877
3470,180,5198
10435,490,6938
8264,590,14781
8177,85,3100
6856,685,10844
5164,85,4050
9594,1005,10262
10378,165,5644
2389,1435,17471
2736,165,4804
7487,1435,10031
9848,810,8475
5227,145,3850
6380,170,9481
808,755,13542
3411,520,11789
1231,910,13941
10003,710,5192
2868,85,4784
1991,1610,14388
5733,800,8586
703,1475,10976
6189,1375,15129
3961,1025,8529
1246,615,15898
2714,995,12242
8107,150,11972
9676,175,7222
4082,1505,12898
9711,1335,12681
233,155,4409
7600,1575,10031
1277,75,3100
9973,665,7757
8598,1655,8529
10082,1045,13143
3293,1440,9555
6365,450,16079
7460,505,9103
8823,1140,13882
452,1275,10441
7287,520,15554
5438,635,6442
4383,440,8323
8268,155,4174
7865,1395,10262
349,295,6496
1666,360,16079
403,1545,11911
8788,1410,11087
6980,555,14848
8873,175,7648
9235,315,6534
6337,90,3175
8938,150,4174
1584,165,6961
5492,90,8040
2594,1200,12219
6347,810,13292
1766,675,7795
2886,870,6152
8633,1540,12692
3969,90,2754
8895,170,5403
7101,665,17057
6360,470,8759
1974,1295,14151
7709,305,5054
2413,170,4377
1355,270,8352
1042,705,7318
3189,550,10262
7258,450,7933
6332,175,3919
5282,810,13292
416,1385,16289
9215,705,10844
8706,975,8854
9145,1655,9663
5174,150,4804
5,145,3873
7873,925,14714
1819,965,5894
10487,1315,14388
4560,175,3311
3209,185,6094
5031,455,6442
9276,730,14388
6323,150,5170
2611,1395,11071
9321,615,8372
8744,920,13873
3581,170,4991
297,155,4878
5043,135,3687
1497,800,12692
6704,180,6144
9305,395,12692
1862,1390,15129
996,170,7303
10027,85,2754
9818,330,6451
10337,515,6442
9419,155,4174
524,170,5201
9177,145,3841
6007,535,8266
6129,400,10844
9703,720,7618
757,965,6117
1412,1855,12488
9284,190,6216
1665,750,14781
5995,180,7229
7821,1620,10824
6993,330,9663
1097,170,3943
10415,1165,17261
3741,705,8614
6027,750,19172
739,895,6979
6443,85,5678
66,170,5403
548,185,7229
304,435,9134
2312,175,3971
5868,830,6795
5265,875,7594
8988,1055,8529
5142,180,7229
611,170,6181
6821,1580,13591
2967,1125,15129
6558,165,3383
9716,890,9663
8350,150,4409
1662,175,3898
1072,90,3210
1387,185,4030
997,185,7229
6627,830,10919
8218,150,5964
3803,155,4804
985,1415,10262
410,335,12242
3636,1090,14388
7995,170,4777
3819,165,5769
2753,765,8452
5505,720,13587
9055,160,4148
4598,505,16263
7593,720,13727
2637,675,8879
5202,705,7787
973,180,4990
9405,665,14781
1374,570,14781
8416,1080,11467
334,1390,9483
8195,630,10261
9211,175,4823
1084,585,8586
4048,455,6673
9798,585,11622
5312,90,16000
9800,1325,12273
9255,585,13759
9295,190,6741
5822,175,7229
8552,140,3850
1791,875,13731
1558,1320,15894
9373,175,8016
2538,1090,13941
8858,90,2759
2540,145,3841
6516,660,8327
2169,315,5583
5730,1590,8854
636,1065,9187
2231,495,11392
81,160,7229
5511,885,14714
3147,150,5515
4168,1255,15532
3630,900,12942
9812,1545,11543
6098,535,13014
10223,455,9001
8167,965,7480
1196,320,5298
8115,185,7229
212,645,7677
2194,410,8714
6169,540,10262
883,220,5162
1384,295,9694
1561,290,6027
4238,90,4160
756,155,4409
5386,270,5158
9129,195,6015
4156,1425,10262
7361,480,13587
7635,565,15629
1023,525,14594
2534,165,15676
395,165,10741
6268,1655,8452
10253,185,4544
1345,195,4256
7491,85,2754
3665,380,6938
1013,665,15136
8660,1125,10368
2935,280,6136
10077,165,6144
9995,735,13731
2437,1405,12599
6859,1730,11467
7478,965,6162
4751,975,9345
7564,85,4050
4662,1595,9653
6474,390,7198
9911,170,3943
3053,1100,13817
5478,165,5618
7522,195,6541
8296,195,7202
2200,190,5586
7968,85,2228
9028,755,7354
5882,155,3841
5779,1435,10413
1889,1395,12898
8299,360,10262
1626,370,6841
6819,140,3597
698,1215,13941
1881,735,8879
1771,810,12351
8033,295,7166
9491,150,5645
9728,385,9526
4785,1395,16111
9607,860,13817
445,585,9663
7666,825,14714
1399,160,4319
8496,280,6933
2011,170,4423
242,135,4842
10106,90,2754
9820,165,3943
7936,170,4284
10356,155,4804
9882,170,4423
7978,90,3175
5127,845,10678
10406,1200,14897
3607,1275,10441
4455,875,7468
10188,1425,10577
9601,175,3898
4278,175,3898
1730,1100,10577
451,425,6818
6726,780,11789
1625,160,3625
8585,140,5515
4260,760,6795
501,80,3100
8234,470,7575
1621,865,6824
7327,160,3971
8989,1495,14571
70,85,5678
7298,660,12395
4748,975,11134
2130,370,7205
3504,330,10262
8601,560,10368
3663,90,1965
3550,180,5769
196,1165,10262
7787,540,10262
7623,1495,10844
5607,170,4823
5424,1545,13941
8521,1525,13922
7857,1625,9345
8962,155,13383
8811,435,9601
7443,575,15136
7005,590,9416
117,610,15147
2990,520,6106
8785,580,6327
2483,150,13885
4524,180,4823
8325,195,7989
2991,140,3873
6969,915,10008
7087,150,3807
2415,480,7408
4304,300,10262
3788,625,6451
4678,140,5277
9515,90,4995
632,345,14781
5729,185,4990
4317,965,17261
2837,175,4823
620,800,13817
4034,180,3943
7934,915,6427
7370,910,6145
6442,840,13727
1298,310,8382
7126,1275,10441
4425,425,15544
8637,615,14848
9586,1325,10262
8559,155,11913
2667,1325,12273
9506,700,9345
2840,140,3841
10008,555,14323
8923,1420,10975
5128,440,12242
5857,450,7888
7262,160,4804
9511,875,14178
7763,140,3873
6124,1430,10844
4903,155,4804
367,175,6860
9951,1480,12121
4206,85,1759
453,300,5177
3242,315,9134
9739,805,14714
5767,170,6094
6138,160,4668
5243,1380,13591
9304,165,6961
7951,155,4804
3905,1210,10262
5048,170,4990
9886,135,4667
3676,1475,17261
9599,540,10262
6618,90,5678
2246,455,6513
9420,450,10262
3239,155,4804
4380,155,5088
4981,165,6961
3308,180,8016
10506,1195,11150
9523,1285,9314
1918,165,3383
1020,170,10216
9525,520,5963
8493,1195,15129
8631,1655,14388
4977,660,13587
5084,375,11936
9428,185,6478
9863,140,3597
7663,800,14781
2187,875,12723
5772,760,8372
795,495,10759
7154,450,17057
6887,1925,7791
5201,160,4878
5910,155,4804
4078,455,7363
7518,175,8722
7910,1130,13292
7692,1285,17024
4098,290,6114
6320,1045,15129
8716,1500,11467
1807,1035,16736
9103,480,6938
8985,90,2071
5143,280,6937
1017,735,7757
1884,1330,9663
10200,1560,13022
7426,1380,13381
7842,170,5734
3916,1165,13843
9961,400,13364
5847,915,7695
3712,590,10844
8222,455,10586
206,155,4878
3900,825,6790
6640,395,15147
5177,450,10262
2803,170,3943
9404,160,9918
1877,170,4319
880,1445,13712
6965,1150,10844
4198,175,4284
9837,1100,8366
6193,1280,12452
1357,465,6795
7582,1360,8372
2275,645,7048
5459,600,15554
6447,720,8930
3385,85,5755
7889,845,6270
7303,80,3100
682,455,6093
6671,165,4777
2890,165,3419
86,325,5636
5877,185,6144
7815,280,5699
9653,75,3100
7659,330,13626
750,170,3943
4452,450,14815
8953,975,6628
3924,290,5694
10053,435,8355
1245,165,3540
8613,320,6147
9342,730,13941
10388,805,12373
7760,1045,11516
7662,615,11717
7927,1600,11281
1364,315,6582
5181,140,11982
3944,1325,14231
3750,750,7888
5705,860,7191
8273,300,5177
2075,1195,15129
3394,165,6961
7008,175,4239
8373,1560,12777
9724,520,11789
1719,185,8016
2861,520,7575
238,520,13555
2352,395,16079
5486,150,3873
8981,1590,8907
6333,140,11982
322,740,14781
6880,1440,8065
6537,170,4077
7548,140,3597
7222,1010,7174
1826,155,3841
2375,170,3398
9826,830,13376
10481,195,4466
4626,505,10678
3915,1400,14815
534,155,4174
8269,150,3841
8712,185,8016
2831,865,6752
10154,170,3943
392,300,12898
4261,185,7229
3593,90,4049
6441,140,3597
1999,925,9646
5539,305,5054
9280,180,7229
4376,165,5228
1026,450,14924
4653,90,4049
3511,135,3859
9451,170,4885
2156,85,4995
3480,90,2754
4754,300,5947
1800,335,4150
1016,1675,7932
10493,170,4668
7088,170,3943
3538,175,8855
9249,180,6094
6617,135,4667
3823,1570,14151
3816,1655,10844
3451,570,13941
262,875,12303
846,175,5694
4875,805,7832
6782,175,6144
4353,1490,13381
3590,140,6297
5027,865,12898
8513,165,3540
7146,375,8372
4086,155,4145
1238,320,7384
2797,620,14714
5107,920,8425
1146,270,9806
1642,910,9663
3343,1375,12647
6586,1065,8452
7819,85,3838
6416,1300,13376
6913,925,9646
6496,170,4668
3667,1245,11753
5739,1345,14424
4389,90,5678
6009,175,4544
8295,660,11399
4950,955,5192
5989,170,4778
1453,440,18804
1697,1065,12395
7701,135,6300
6908,1350,8366
8316,360,12373
8069,895,6206
9805,90,3210
8831,160,4804
3662,665,6818
2429,300,6069
5233,160,18308
6032,1520,14151
8035,625,6152
1905,930,8510
4721,330,16289
6413,265,7657
8992,160,4804
9468,1585,11087
4900,1220,12681
510,1275,22096
8914,1345,12849
5603,1595,8656
5834,165,3419
9626,140,3597
2555,175,3419
9049,520,6381
3898,1300,10919
2146,430,11999
8594,455,9103
4548,1810,11883
3246,1025,14571
8236,310,6147
4342,170,6961
10422,380,6148
1549,800,11841
8209,145,3873
5630,505,15318
6217,320,7438
10187,155,4145
4556,195,7673
8913,1205,18909
6958,435,9946
9369,90,1965
5594,770,14629
8718,150,4082
4800,1025,10368
8347,370,7280
9199,865,7438
4652,1055,7832
9102,590,13941
993,1600,10231
6439,90,4049
1054,330,13941
4796,175,3573
6160,735,8669
9505,750,13377
4887,610,10697
10240,705,9899
2998,755,10276
5135,90,2017
5926,425,14571
790,795,13152
7310,765,9646
934,1285,10844
10359,440,8422
9198,90,8040
4002,175,3502
1783,495,13552
6454,90,2753
1734,795,8266
700,155,4878
3872,175,7240
8249,1365,13764
4937,140,3873
344,540,16079
4797,1295,10262
5899,145,7900
5469,1185,14330
1081,1005,8066
3644,1605,10808
6930,525,11087
3037,330,14714
10208,155,4148
7872,505,9103
8846,300,5073
8072,175,5048
6835,90,8040
323,1530,16079
9651,310,7870
5108,175,7229
3896,590,10844
2268,90,2759
2220,1040,10262
9732,165,3383
4044,425,13344
3777,90,8040
1878,1005,13067
7435,175,7229
7657,395,9794
719,1615,10368
1175,435,10156
4712,910,7757
9223,80,2175
3876,1265,11707
7769,170,4423
777,455,15353
2427,1375,10909
5275,765,4487
10482,1580,13801
9421,520,11789
1385,505,7318
5083,1535,7480
432,1395,12373
7275,1615,10368
2636,480,7933
2473,535,13029
450,170,4937
4158,520,14714
2893,465,14848
3273,90,2754
5837,320,7174
6919,640,7005
2565,800,13044
4073,180,7229
2696,570,7923
3420,150,5620
417,560,6442
2746,455,6442
8966,1300,13376
5473,615,9794
3234,140,3597
4853,1575,10844
10468,435,7308
10307,320,6147
3377,1375,13014
1039,155,3841
9273,355,6800
2851,585,13374
6505,625,6751
7192,440,15812
7084,165,6961
8425,755,15136
6029,155,3873
8382,170,4823
4444,150,5224
3811,435,12284
7188,90,1965
5232,560,7514
2927,175,3311
5361,135,3911
3974,435,9358
1833,170,4823
1942,1410,10651
6829,265,3574
5849,1505,10262
5196,140,3597
2241,140,5277
3661,925,10262
701,810,6416
2426,575,12384
133,840,14067
4925,455,7268
3341,155,4804
2470,165,3419
270,735,9929
8575,1660,10844
1398,80,3100
9780,150,5510
4739,1450,13067
10143,1295,10262
8160,865,14714
2866,1410,9443
1839,165,4804
1019,155,3841
2610,1430,15129
960,140,5277
10191,1700,7662
9116,1090,14815
3390,1655,11602
6625,90,3210
5597,1390,15129
2142,340,11410
1351,135,3543
9887,1270,12373
8808,345,10844
7887,1440,6528
7510,1440,8085
1579,165,4423
7833,140,5277
5170,525,15107
4866,830,8405
2292,1045,12723
1927,690,12384
2193,175,4823
3658,175,4823
1215,840,13377
2855,330,9663
1265,525,12192
2966,455,8855
5154,865,8367
1456,170,6121
4502,570,14781
2945,900,13882
5553,165,6961
10389,810,10368
819,795,7268
9416,540,6093
10443,1330,8586
244,550,10577
5055,1005,10262
5894,1625,7927
1393,175,3502
434,190,6741
9335,630,15119
8199,425,16274
9018,1090,14237
6466,185,7229
7589,170,3943
657,170,5403
477,960,8529
2162,630,13377
4807,350,8227
7373,1430,13941
6941,560,13014
2685,720,13587
495,1090,14237
8024,1615,13014
7226,675,8372
8732,735,8529
7622,795,14231
7536,435,8479
894,455,6442
1272,960,10844
8746,1430,15129
8399,1410,10651
5066,1410,10178
5903,290,5069
907,1125,13014
4846,165,7229
563,90,4050
8889,1355,12358
4382,885,12373
2879,170,3398
8290,160,5403
7300,1690,8529
19,1235,12898
2060,90,1965
1709,170,6860
123,145,3540
5679,810,6093
10312,805,6017
839,165,4878
6324,175,3919
5366,90,8040
2392,525,10197
10046,170,4778
7305,150,4804
8963,555,9646
4874,170,3943
5471,160,4622
7040,170,4423
2212,1450,8066
857,425,10844
9801,505,12410
4063,1125,13029
4202,1625,12723
1236,160,4878
2699,1315,14388
9913,810,13014
4822,1295,14151
3174,510,15603
3488,150,3841
4125,535,13014
4934,340,6752
7473,300,6593
6181,865,12199
5900,85,5678
275,330,8224
10277,175,5706
2578,165,4077
4193,1400,10844
4136,185,4544
2632,170,4148
8910,180,5198
329,480,6528
7030,765,5117
6355,190,6741
3371,300,6069
4205,705,17549
3044,90,2228
3643,570,13587
3140,180,4423
4892,1545,8891
3696,85,3210
3904,910,11125
10279,180,4544
5977,345,10844
655,165,3383
570,1490,15481
8678,455,10678
1865,175,5198
10004,330,9158
8539,80,3100
683,1595,11682
5717,170,4944
8307,470,7354
2190,925,10262
9901,755,17493
10313,170,4823
3099,925,13843
4169,1210,14714
2591,1760,16704
8879,180,8541
8077,1830,9626
9554,320,7174
3408,650,11667
9348,135,4752
610,1240,7438
10514,180,7229
5806,180,5198
560,680,15411
435,385,6481
1596,135,4667
2765,145,3850
10241,375,12295
7941,330,8224
8320,140,3841
3792,2040,12347
2869,1110,7893
6534,180,6094
9900,425,14441
2601,170,4423
9011,1660,10844
7905,345,14781
5525,220,4226
5755,1625,8534
6915,555,8456
661,520,10262
8666,1015,8824
6666,590,10844
100,740,14781
1467,170,3383
4986,75,3100
10345,195,9564
8053,1820,13696
6567,390,8307
3210,1215,8586
2821,1480,10539
981,135,3597
6469,450,11245
2553,190,4851
2343,390,6795
6485,85,4050
9680,515,6442
4489,1165,13532
6495,175,4284
9360,845,5684
1240,170,3383
6343,560,7005
5878,1475,19329
7269,150,3815
3849,730,11087
788,755,8937
5896,1275,11087
3026,180,8016
7637,1760,12819
8782,570,8907
2420,450,10262
6390,305,9165
4359,365,7064
2531,440,10529
6573,965,4227
2882,175,6558
980,420,9264
6103,90,3625
3988,1550,8610
6893,80,4307
7178,170,7120
3162,195,5601
5725,335,15554
6916,140,3841
205,575,7048
1375,155,5224
1006,170,4823
466,160,4668
7471,620,15200
8040,800,14388
6996,145,3841
4159,1420,8834
2216,1430,7064
8339,1575,17024
9936,175,4632
7532,1380,9254
7079,1295,12692
8987,1745,13303
9194,885,10262
7234,1465,11869
3334,765,8452
2980,465,14848
1630,180,4544
5537,315,5636
5214,1400,7064
3736,1560,8770
2105,190,6216
1352,145,3858
735,85,4050
2498,655,11213
776,730,13568
8973,740,14781
5106,170,4823
7320,895,7514
9942,140,3858
9923,630,13377
2186,810,7006
2860,875,9663
1866,975,7503
6016,1490,11003
2902,1065,9922
10094,190,6216
6715,435,8918
5781,90,3205
4794,375,14486
2289,280,7280
2366,665,16736
5946,360,10262
1650,810,7191
3109,1350,9345
8380,1105,12898
6886,1320,13376
772,580,13069
8291,735,7934
5392,165,5823
1007,170,4823
518,135,3543
7649,810,13014
10170,640,14815
3715,295,6496
10366,85,3100
7388,1265,13502
1448,560,10368
9540,155,5645
7377,140,3873
3125,170,4423
6220,1730,14151
3052,305,6762
2767,730,7064
9493,570,13587
1107,1325,14714
2948,940,6442
1796,620,18371
9414,495,9134
8369,1255,7480
5840,155,4435
10031,90,5678
6303,155,4460
3405,420,7153
7176,180,7229
4112,615,12524
4341,90,4049
6025,175,4823
5693,320,5298
1360,370,4106
1061,150,4384
6731,150,4384
4241,160,3971
5117,1450,14151
190,1535,7165
8130,165,6121
4580,1490,11528
6807,155,4174
9000,1620,12609
9433,400,13626
9385,1760,15129
1370,1010,8907
8051,1410,10441
6781,185,3359
7270,1155,9663
6486,1630,14151
5884,1595,9968
9731,880,13942
110,900,13555
5993,785,8425
3738,540,12192
1055,180,5198
3502,1275,9181
789,1580,9400
7148,800,8586
9924,535,13014
12,135,4667
8411,365,10844
4328,1345,12009
5344,810,11507
8421,270,4414
5987,150,5224
4786,1275,10651
6974,535,9526
2928,895,7081
1914,1545,10844
6402,155,5613
2009,1225,15974
8850,1620,9836
4461,730,9663
9363,170,4823
6896,1610,10031
933,585,14388
5141,90,2754
6551,615,10529
5943,830,13376
8083,645,7677
2501,480,12537
37,150,6245
1560,1375,10368
4108,145,3873
5522,845,6979
5483,1490,13882
8454,325,7464
6132,170,8851
635,535,13029
6306,1295,10588
6237,390,6795
5099,175,6205
2457,330,8844
1021,80,3100
4932,155,3873
6023,540,6513
5534,630,9001
8768,1545,8891
2839,1485,12898
8760,705,7354
6111,165,4778
1284,630,8266
3134,140,3597
4058,625,16736
5035,170,7110
8836,1260,15764
3767,160,4668
104,165,6121
5860,440,11789
3392,1375,13029
8211,90,3210
7354,440,6393
9393,1690,13584
1268,155,4804
4615,425,16274
5247,170,4668
4612,1730,9314
4724,570,10844
926,1165,10262
5267,170,4423
663,1410,8236
1541,215,6857
9324,625,11600
6631,1195,10151
4143,1410,9653
3359,940,7514
5794,600,10262
8824,1615,15129
3317,925,7438
3197,165,7276
7916,345,10844
2207,1100,13873
8109,155,4804
5333,990,11602
10147,135,3807
8948,455,8266
8171,520,6959
8028,170,7120
3865,315,5170
678,645,8937
6992,440,7845
8284,165,5228
9555,925,9856
165,90,6092
7449,425,9899
6922,165,4148
2442,1040,12373
2032,875,8586
5966,145,3858
6077,785,14815
7639,175,3419
1606,90,4049
4913,385,8610
230,375,10191
7067,540,4959
9970,895,5883
7167,90,5678
7140,615,15284
5591,80,2050
1557,90,2017
7488,665,8586
4667,625,15135
3483,540,4959
8756,175,5769
5041,1555,7980
1648,455,10877
4142,90,3175
1926,270,4812
10488,160,4319
7861,1655,12898
10446,85,4050
1850,715,18371
3762,1760,11150
10505,80,3100
885,1695,11134
10276,435,8479
9012,140,5277
6344,90,3175
2308,170,5228
7608,810,7191
7685,165,4462
4999,1100,11911
3233,1545,10021
7364,510,14781
9744,195,7202
4107,1210,8839
4026,425,16274
4113,1375,10368
8797,395,10262
6462,170,11934
7746,175,5769
2155,90,8040
3985,170,3971
10021,165,4030
966,830,7485
8851,420,14871
3276,1745,10539
579,455,6442
4115,540,5135
5491,1010,10577
8175,195,7202
7660,800,9663
4617,175,6144
770,170,6961
974,1550,9135
1765,875,13817
4949,625,6253
63,630,7191
3414,375,6902
8751,140,4332
3152,800,10861
494,1440,8610
1083,690,11200
6464,715,18581
2548,1410,9653
4040,170,3898
3292,175,5621
3486,810,8405
5190,155,4878
6284,385,10276
9308,805,15957
8629,180,7229
5647,555,11188
1324,1005,16079
4697,150,4491
8288,1420,12760
10001,650,8601
2318,355,5135
4182,150,5510
7727,1040,10262
9299,765,7480
8926,170,5228
1724,160,4465
2138,140,11982
2264,170,5201
2936,365,11087
6742,1035,15164
480,540,10197
4705,155,3873
6267,505,14300
2204,695,7178
9019,90,2754
7096,345,14231
9023,910,12192
3194,340,19225
2139,1510,8032
1044,345,6195
6183,195,4729
4144,520,14777
6450,1280,12373
7925,1010,14714
6252,340,6752
769,1720,10844
4099,465,14848
5584,435,8479
1419,600,12927
8397,170,6121
10100,150,6245
3753,765,7952
5100,570,14871
9122,1440,6528
5061,620,18371
5209,80,3173
626,170,5613
7775,615,15342
9775,610,12557
4249,645,7887
9550,1355,12373
5912,1410,8656
638,1305,8665
5017,390,7363
1552,1660,8529
26,345,8238
8365,175,4823
9232,860,6093
8886,1550,9345
8990,1760,15129
4983,835,6442
10249,755,13082
5449,80,5462
3954,150,5224
8163,140,5277
8862,170,4273
7220,175,4823
6391,160,18308
393,170,3919
1634,155,4804
8429,150,3841
3587,395,10262
4647,900,9845
2554,760,15187
5721,90,2437
1563,520,7189
4305,435,8479
3771,150,5515
10257,325,5636
8150,1580,10975
8936,415,5883
